iter	RMSE
0	3510.650789
1	3228.28024
2	2978.691713
3	2758.589423
4	2565.993008
5	2398.405502
6	2250.197585
7	2120.844038
8	2007.856501
9	1909.952796
10	1824.837388
11	1752.796424
12	1690.099659
13	1635.432057
14	1590.950968
15	1551.054487
16	1517.477141
17	1489.539192
18	1464.684164
19	1444.344483
20	1426.704891
21	1411.571301
22	1398.116306
23	1386.245919
24	1375.106555
25	1365.216278
26	1357.599843
27	1350.338298
28	1343.481904
29	1337.156732
30	1331.867802
31	1326.812538
32	1322.402491
33	1318.097009
34	1313.286968
35	1309.735981
36	1305.882108
37	1302.602927
38	1298.705151
39	1296.439648
40	1293.987786
41	1291.084711
42	1289.263309
43	1285.698414
44	1283.999143
45	1280.871903
46	1279.189307
47	1277.512008
48	1276.062697
49	1274.677579
50	1272.984544
51	1271.16477
52	1270.123371
53	1268.683916
54	1267.821843
55	1266.06676
56	1263.746337
57	1262.522691
58	1259.916719
59	1258.993345
60	1257.867842
61	1255.626987
62	1254.789846
63	1253.329358
64	1252.63582
65	1251.384778
66	1250.631231
67	1249.191884
68	1248.373985
69	1246.133218
70	1245.375897
71	1244.5862
72	1244.012778
73	1242.489369
74	1240.927306
75	1239.887834
76	1238.036573
77	1237.457786
78	1235.963931
79	1234.686698
80	1233.65801
81	1232.868076
82	1232.209488
83	1231.344489
84	1230.709702
85	1229.245959
86	1227.202397
87	1225.826958
88	1225.260975
89	1224.750081
90	1223.712575
91	1221.95282
92	1220.754399
93	1220.283558
94	1219.866276
95	1219.236227
96	1218.883967
97	1217.906994
98	1217.134573
99	1216.529535
100	1215.698462
101	1214.317961
102	1213.880806
103	1211.988143
104	1210.996796
105	1210.415174
106	1209.375187
107	1208.836873
108	1207.396954
109	1206.434282
110	1205.526977
111	1204.850539
112	1203.862408
113	1202.754189
114	1202.300545
115	1201.876118
116	1200.59662
117	1199.781225
118	1197.322024
119	1195.829956
120	1194.132684
121	1193.464142
122	1192.813094
123	1192.407199
124	1190.504459
125	1190.217328
126	1189.830237
127	1189.451942
128	1189.155344
129	1188.203299
130	1187.809161
131	1186.323942
132	1185.694411
133	1185.126583
134	1184.607006
135	1183.850221
136	1182.172281
137	1181.531615
138	1181.120428
139	1180.809138
140	1180.385612
141	1179.394995
