iter	Passed	Remaining
0	15	15630
1	26	12987
2	35	11736
3	44	11104
4	54	10786
5	64	10701
6	73	10433
7	82	10204
8	91	10087
9	100	9955
10	109	9839
11	118	9751
12	127	9688
13	136	9608
14	145	9529
15	155	9537
16	163	9481
17	172	9423
18	181	9393
19	191	9375
20	202	9443
21	212	9466
22	222	9448
23	231	9423
24	240	9391
25	248	9327
26	257	9289
27	266	9241
28	275	9208
29	283	9174
30	292	9131
31	300	9094
32	310	9087
33	318	9045
34	327	9021
35	336	8997
36	344	8964
37	352	8928
38	360	8891
39	369	8860
40	377	8838
41	387	8827
42	395	8794
43	404	8791
44	412	8758
45	421	8734
46	429	8709
47	437	8677
48	445	8642
49	453	8613
50	461	8580
51	470	8571
52	477	8538
53	485	8501
54	492	8461
55	500	8443
56	509	8432
57	517	8412
58	525	8388
59	533	8358
60	542	8349
61	550	8328
62	558	8304
63	567	8294
64	575	8272
65	582	8246
66	590	8225
67	599	8220
68	608	8214
69	617	8198
70	624	8176
71	633	8165
72	641	8140
73	649	8124
74	657	8104
75	665	8095
76	673	8076
77	681	8056
78	690	8044
79	697	8024
80	706	8020
81	714	7998
82	722	7981
83	730	7970
84	738	7953
85	747	7941
86	755	7926
87	763	7909
88	771	7897
89	779	7879
90	787	7861
91	795	7854
92	803	7835
93	812	7833
94	822	7832
95	830	7824
96	839	7813
97	848	7806
98	855	7788
99	863	7769
100	871	7752
101	879	7740
102	886	7723
103	895	7716
104	904	7713
105	913	7704
106	922	7695
107	930	7684
108	939	7677
109	946	7660
110	955	7652
111	964	7645
112	972	7635
113	982	7633
114	991	7631
115	1000	7623
116	1011	7632
117	1020	7627
118	1030	7627
119	1038	7617
120	1048	7613
121	1057	7612
122	1066	7601
123	1074	7593
124	1084	7588
125	1092	7579
126	1100	7566
127	1110	7561
128	1118	7555
129	1126	7541
130	1138	7549
131	1148	7553
132	1157	7542
133	1165	7531
134	1174	7523
135	1182	7510
136	1191	7504
137	1200	7499
138	1208	7487
139	1218	7484
140	1227	7477
141	1237	7475
142	1248	7481
143	1258	7479
144	1268	7477
145	1276	7468
146	1285	7458
147	1294	7451
148	1303	7447
149	1311	7433
150	1320	7425
151	1329	7416
152	1337	7402
153	1346	7396
154	1356	7392
155	1363	7377
156	1373	7372
157	1382	7368
158	1390	7353
159	1398	7344
160	1407	7336
161	1416	7325
162	1427	7331
163	1438	7333
164	1448	7328
165	1455	7314
166	1465	7309
167	1475	7304
168	1485	7303
169	1496	7304
170	1506	7303
171	1517	7303
172	1525	7291
173	1533	7281
174	1543	7275
175	1551	7262
176	1561	7258
177	1570	7252
178	1579	7245
179	1587	7232
180	1597	7230
181	1607	7226
182	1616	7217
183	1624	7204
184	1633	7195
185	1643	7194
186	1656	7200
187	1664	7190
188	1674	7183
189	1682	7171
190	1690	7158
191	1699	7153
192	1708	7143
193	1716	7130
194	1726	7129
195	1735	7120
196	1744	7110
197	1754	7105
198	1763	7099
199	1810	7243
200	1821	7240
201	1831	7236
202	1842	7232
203	1851	7223
204	1860	7215
205	1869	7204
206	1876	7190
207	1886	7181
208	1896	7179
209	1905	7169
210	1914	7158
211	1923	7149
212	1932	7141
213	1941	7131
214	1951	7125
215	1960	7116
216	1969	7107
217	1979	7100
218	1988	7090
219	1995	7075
220	2005	7068
221	2014	7060
222	2024	7053
223	2035	7050
224	2044	7041
225	2053	7033
226	2061	7021
227	2071	7013
228	2079	7001
229	2089	6993
230	2096	6980
231	2106	6973
232	2115	6964
233	2125	6958
234	2135	6952
235	2145	6944
236	2153	6931
237	2161	6919
238	2169	6908
239	2178	6899
240	2188	6891
241	2195	6877
242	2204	6867
243	2214	6862
244	2223	6851
245	2233	6844
246	2242	6836
247	2252	6829
248	2260	6818
249	2269	6808
250	2278	6799
251	2287	6790
252	2296	6781
253	2305	6770
254	2313	6759
255	2322	6751
256	2332	6744
257	2341	6734
258	2350	6724
259	2359	6714
260	2368	6707
261	2378	6698
262	2387	6689
263	2397	6683
264	2407	6676
265	2414	6663
266	2423	6653
267	2433	6645
268	2441	6635
269	2451	6627
270	2461	6622
271	2470	6611
272	2479	6602
273	2488	6593
274	2497	6583
275	2505	6573
276	2517	6571
277	2526	6562
278	2536	6555
279	2546	6548
280	2556	6542
281	2564	6530
282	2572	6518
283	2582	6510
284	2591	6502
285	2600	6491
286	2608	6480
287	2616	6469
288	2624	6458
289	2633	6447
290	2642	6438
291	2651	6429
292	2659	6417
293	2668	6408
294	2677	6398
295	2686	6389
296	2696	6382
297	2705	6372
298	2713	6362
299	2722	6351
300	2730	6341
301	2738	6330
302	2747	6319
303	2756	6310
304	2766	6303
305	2776	6296
306	2784	6286
307	2794	6277
308	2803	6269
309	2816	6268
310	2826	6260
311	2835	6253
312	2847	6249
313	2857	6242
314	2866	6232
315	2874	6221
316	2882	6211
317	2891	6201
318	2900	6191
319	2908	6180
320	2917	6170
321	2926	6161
322	2934	6150
323	2944	6143
324	2952	6131
325	2960	6121
326	2968	6110
327	2977	6099
328	2985	6089
329	2994	6079
330	3003	6070
331	3012	6061
332	3022	6053
333	3030	6043
334	3039	6033
335	3049	6026
336	3058	6017
337	3066	6005
338	3076	5997
339	3084	5988
340	3093	5977
341	3100	5965
342	3109	5955
343	3117	5945
344	3126	5935
345	3135	5926
346	3144	5917
347	3153	5907
348	3161	5898
349	3171	5889
350	3179	5878
351	3187	5868
352	3196	5858
353	3204	5848
354	3213	5837
355	3222	5829
356	3230	5818
357	3240	5810
358	3250	5803
359	3260	5796
360	3268	5785
361	3276	5774
362	3284	5763
363	3292	5752
364	3301	5744
365	3310	5734
366	3318	5723
367	3327	5714
368	3335	5703
369	3343	5693
370	3353	5684
371	3361	5674
372	3369	5663
373	3378	5654
374	3387	5645
375	3396	5636
376	3405	5627
377	3415	5619
378	3424	5611
379	3434	5603
380	3443	5595
381	3454	5588
382	3462	5577
383	3471	5568
384	3479	5558
385	3487	5547
386	3495	5537
387	3505	5528
388	3512	5517
389	3521	5508
390	3530	5498
391	3538	5489
392	3546	5478
393	3555	5468
394	3563	5458
395	3572	5448
396	3580	5438
397	3589	5429
398	3598	5419
399	3606	5409
400	3614	5399
401	3622	5388
402	3630	5378
403	3638	5367
404	3648	5359
405	3656	5349
406	3664	5339
407	3672	5329
408	3681	5319
409	3689	5309
410	3697	5298
411	3705	5289
412	3714	5279
413	3723	5269
414	3731	5260
415	3739	5249
416	3748	5240
417	3756	5230
418	3765	5221
419	3773	5210
420	3782	5201
421	3790	5191
422	3798	5181
423	3807	5172
424	3815	5162
425	3823	5151
426	3832	5142
427	3839	5131
428	3847	5121
429	3855	5110
430	3864	5101
431	3873	5092
432	3882	5083
433	3891	5074
434	3899	5064
435	3907	5054
436	3915	5043
437	3923	5034
438	3931	5024
439	3939	5014
440	3948	5004
441	3957	4995
442	3965	4986
443	3974	4977
444	3982	4966
445	3990	4956
446	3998	4946
447	4007	4937
448	4015	4927
449	4023	4917
450	4032	4908
451	4040	4898
452	4049	4889
453	4057	4879
454	4065	4870
455	4075	4861
456	4084	4852
457	4092	4843
458	4101	4833
459	4110	4825
460	4118	4815
461	4126	4805
462	4134	4795
463	4143	4786
464	4151	4776
465	4159	4766
466	4167	4756
467	4174	4745
468	4181	4734
469	4190	4725
470	4197	4714
471	4205	4704
472	4213	4694
473	4221	4684
474	4230	4675
475	4238	4665
476	4247	4656
477	4255	4647
478	4263	4637
479	4273	4629
480	4281	4619
481	4290	4611
482	4299	4601
483	4307	4592
484	4315	4581
485	4323	4572
486	4332	4564
487	4341	4554
488	4350	4545
489	4358	4535
490	4365	4525
491	4374	4516
492	4382	4506
493	4390	4497
494	4399	4487
495	4407	4478
496	4415	4469
497	4423	4459
498	4432	4450
499	4441	4441
500	4449	4432
501	4457	4421
502	4466	4413
503	4475	4404
504	4483	4394
505	4491	4384
506	4499	4375
507	4509	4367
508	4517	4357
509	4524	4347
510	4532	4337
511	4540	4327
512	4548	4318
513	4556	4307
514	4565	4299
515	4573	4289
516	4581	4280
517	4591	4272
518	4599	4263
519	4608	4254
520	4617	4245
521	4626	4236
522	4634	4227
523	4642	4217
524	4652	4209
525	4661	4200
526	4670	4191
527	4679	4183
528	4687	4173
529	4696	4164
530	4704	4155
531	4713	4146
532	4721	4137
533	4730	4127
534	4738	4118
535	4746	4108
536	4754	4099
537	4763	4090
538	4771	4081
539	4781	4073
540	4790	4064
541	4798	4055
542	4806	4045
543	4815	4036
544	4823	4027
545	4832	4018
546	4840	4008
547	4848	3999
548	4857	3990
549	4867	3982
550	4875	3972
551	4883	3963
552	4891	3953
553	4899	3944
554	4908	3935
555	4915	3925
556	4924	3916
557	4933	3907
558	4940	3897
559	4948	3888
560	4957	3879
561	4965	3870
562	4974	3861
563	4982	3851
564	4991	3842
565	4999	3833
566	5007	3824
567	5016	3815
568	5026	3807
569	5034	3797
570	5042	3788
571	5050	3778
572	5058	3769
573	5066	3760
574	5076	3751
575	5085	3743
576	5093	3734
577	5102	3725
578	5110	3715
579	5118	3706
580	5126	3697
581	5135	3688
582	5143	3678
583	5152	3669
584	5160	3660
585	5169	3651
586	5177	3642
587	5186	3634
588	5195	3625
589	5204	3616
590	5212	3607
591	5220	3597
592	5228	3588
593	5238	3580
594	5246	3570
595	5254	3561
596	5263	3553
597	5272	3544
598	5280	3535
599	5288	3525
600	5297	3516
601	5305	3507
602	5313	3498
603	5321	3489
604	5329	3479
605	5337	3470
606	5346	3461
607	5354	3452
608	5362	3443
609	5371	3434
610	5379	3425
611	5388	3416
612	5397	3407
613	5405	3397
614	5413	3388
615	5421	3379
616	5428	3369
617	5437	3361
618	5445	3351
619	5453	3342
620	5461	3333
621	5469	3324
622	5477	3314
623	5486	3306
624	5494	3296
625	5503	3288
626	5511	3279
627	5519	3269
628	5527	3260
629	5536	3251
630	5545	3242
631	5554	3234
632	5562	3224
633	5571	3216
634	5580	3207
635	5589	3198
636	5598	3190
637	5606	3181
638	5613	3171
639	5622	3162
640	5631	3153
641	5640	3145
642	5648	3136
643	5657	3127
644	5666	3118
645	5675	3110
646	5684	3101
647	5693	3092
648	5701	3083
649	5710	3074
650	5718	3065
651	5727	3057
652	5735	3048
653	5743	3038
654	5751	3029
655	5760	3020
656	5768	3011
657	5778	3003
658	5787	2994
659	5796	2985
660	5804	2976
661	5813	2968
662	5821	2958
663	5829	2949
664	5837	2940
665	5844	2931
666	5852	2922
667	5861	2913
668	5870	2904
669	5879	2895
670	5888	2887
671	5897	2878
672	5907	2870
673	5914	2860
674	5922	2851
675	5931	2842
676	5938	2833
677	5947	2824
678	5956	2815
679	5964	2806
680	5972	2797
681	5980	2788
682	5987	2779
683	5996	2770
684	6005	2761
685	6014	2753
686	6023	2744
687	6031	2734
688	6038	2725
689	6046	2716
690	6054	2707
691	6062	2698
692	6071	2689
693	6080	2680
694	6088	2671
695	6096	2662
696	6105	2654
697	6114	2645
698	6123	2636
699	6131	2627
700	6140	2619
701	6149	2610
702	6157	2601
703	6165	2592
704	6173	2583
705	6182	2574
706	6191	2566
707	6200	2557
708	6208	2548
709	6217	2539
710	6225	2530
711	6234	2521
712	6244	2513
713	6251	2504
714	6259	2495
715	6268	2486
716	6276	2477
717	6284	2468
718	6292	2459
719	6301	2450
720	6309	2441
721	6319	2433
722	6328	2424
723	6337	2416
724	6346	2407
725	6354	2398
726	6362	2389
727	6370	2380
728	6378	2371
729	6387	2362
730	6395	2353
731	6405	2345
732	6413	2336
733	6421	2327
734	6429	2318
735	6437	2309
736	6446	2300
737	6455	2291
738	6464	2282
739	6472	2274
740	6480	2265
741	6489	2256
742	6498	2247
743	6507	2239
744	6515	2230
745	6523	2221
746	6531	2212
747	6539	2203
748	6548	2194
749	6557	2185
750	6567	2177
751	6574	2168
752	6583	2159
753	6591	2150
754	6600	2141
755	6608	2132
756	6616	2123
757	6625	2115
758	6633	2106
759	6641	2097
760	6649	2088
761	6658	2079
762	6666	2070
763	6675	2062
764	6685	2053
765	6695	2045
766	6703	2036
767	6712	2027
768	6721	2019
769	6730	2010
770	6737	2001
771	6746	1992
772	6753	1983
773	6762	1974
774	6770	1965
775	6778	1956
776	6786	1947
777	6794	1938
778	6802	1929
779	6811	1921
780	6820	1912
781	6829	1903
782	6837	1894
783	6845	1886
784	6855	1877
785	6863	1868
786	6871	1859
787	6881	1851
788	6890	1842
789	6900	1834
790	6909	1825
791	6917	1816
792	6926	1808
793	6935	1799
794	6943	1790
795	6951	1781
796	6960	1772
797	6969	1764
798	6978	1755
799	6986	1746
800	6994	1737
801	7002	1728
802	7011	1720
803	7019	1711
804	7028	1702
805	7036	1693
806	7044	1684
807	7053	1675
808	7062	1667
809	7070	1658
810	7078	1649
811	7086	1640
812	7095	1632
813	7104	1623
814	7112	1614
815	7120	1605
816	7127	1596
817	7135	1587
818	7144	1578
819	7152	1569
820	7160	1561
821	7169	1552
822	7178	1543
823	7186	1534
824	7194	1526
825	7203	1517
826	7211	1508
827	7219	1499
828	7227	1490
829	7236	1482
830	7244	1473
831	7252	1464
832	7260	1455
833	7268	1446
834	7277	1438
835	7286	1429
836	7294	1420
837	7303	1411
838	7312	1403
839	7321	1394
840	7329	1385
841	7338	1376
842	7346	1368
843	7354	1359
844	7362	1350
845	7372	1342
846	7380	1333
847	7388	1324
848	7396	1315
849	7404	1306
850	7412	1297
851	7421	1289
852	7430	1280
853	7437	1271
854	7446	1262
855	7454	1253
856	7462	1245
857	7470	1236
858	7479	1227
859	7488	1219
860	7496	1210
861	7505	1201
862	7513	1192
863	7523	1184
864	7532	1175
865	7540	1166
866	7548	1158
867	7557	1149
868	7565	1140
869	7574	1131
870	7583	1123
871	7591	1114
872	7599	1105
873	7607	1096
874	7616	1088
875	7624	1079
876	7631	1070
877	7640	1061
878	7648	1052
879	7657	1044
880	7665	1035
881	7674	1026
882	7682	1017
883	7691	1009
884	7700	1000
885	7709	992
886	7718	983
887	7726	974
888	7735	965
889	7744	957
890	7754	948
891	7762	939
892	7771	931
893	7780	922
894	7789	913
895	7797	905
896	7805	896
897	7814	887
898	7823	878
899	7831	870
900	7839	861
901	7847	852
902	7856	843
903	7864	835
904	7872	826
905	7880	817
906	7889	808
907	7898	800
908	7907	791
909	7916	782
910	7924	774
911	7932	765
912	7940	756
913	7948	747
914	7956	739
915	7965	730
916	7973	721
917	7983	713
918	7991	704
919	8000	695
920	8009	686
921	8018	678
922	8027	669
923	8035	660
924	8044	652
925	8053	643
926	8062	634
927	8072	626
928	8082	617
929	8091	609
930	8101	600
931	8110	591
932	8119	583
933	8127	574
934	8135	565
935	8143	556
936	8151	548
937	8159	539
938	8167	530
939	8175	521
940	8184	513
941	8193	504
942	8201	495
943	8210	487
